backend architecture,use case,heap,concurrency,garbage collector,workload,average_latency,min_latency,max_latency,percentile_10,percentile_20,percentile_50,percentile_90,percentile_99,percentile_999,percentile_9999,percentile_99999,percentile_999999,percentile_9999999,throughput,footprint,avgfootprintAfterFullGC,avgFreedMemoryByFullGC,avgfootprintAfterGC,avgFreedMemoryByGC,avgPause,minPause,maxPause,avgGCPause,avgFullGCPause,accumPause,fullGCPause,gcPause,gc_throughput,num_full_gc,num_minor_gc,freedMemoryPerMin,gcPerformance,fullGCPerformance,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,tps,rtps,wtps,bread/s,bwrtn/s,dentunusd,file-nr,inode-nr,pty-nr,proc/s,cswch/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
nio,io,7g,600,UseParallelGC,1024,31.740803034368533,0,404,11.0,16.0,27.0,55.0,114.0,192.0,253.0,317.0,356.81006999406964,404.0,18845.43666666667,7139.5,23.613,607,76.223,2312.321,0.01021,0.00458,0.0704,0.01008,0.0704,4.6,0.07,4.53,99.24,1,450,103324.143,229472.603,8621.694,85.94,0.00,7.95,0.00,0.02,0.00,3.43,0.00,0.00,2.66,4019070,3638546,47.52,66606,675728,8464228,110.53,2935486,529464,86,2726355,113876,5214,9389,0,0,0,0.00,0,0.00,0.64,0.00,0.64,0.00,10.50,44903,1743,47654,0,0.02,5837.40,11,312,10.44,9.04,6.86,0,20977.43,28460.83,22970.10,23088.56,0.00,0.00,0.00,1.89
nio,io,7g,500,UseParallelGC,1024,28.983117750723437,0,432,9.0,13.0,23.0,53.0,120.0,191.0,261.0,371.0,396.0,421.1645502028987,17199.13,7145.5,23.619,535,57.365,2325.276,0.00828,0.00466,0.0712,0.00813,0.0712,3.39,0.07,3.32,99.44,1,409,94543.982,286157.814,7513.56,87.55,0.00,6.98,0.00,0.02,0.00,2.97,0.00,0.00,2.47,4022880,3634736,47.47,66800,675777,8464888,110.54,2932259,529464,82,2722892,113413,5184,9384,0,0,0,0.00,0,0.00,0.66,0.00,0.66,0.00,10.26,44984,1639,47554,0,0.02,5553.32,11,310,10.43,9.76,8.26,0,18967.62,24686.93,20943.47,20982.68,0.00,0.00,0.00,1.72
nio,io,7g,200,UseParallelGC,1024,9.635461089335202,0,361,3.0,4.0,7.0,18.0,49.0,118.0,175.0,244.0,340.4481929820031,361.0,20642.926666666666,7158,23.62,563,44.272,2353.059,0.0045,0.00239,0.07254,0.00436,0.07254,2.18,0.07,2.1,99.64,1,483,112825.852,540128.936,7761.224,84.94,0.00,8.43,0.00,0.04,0.00,3.42,0.00,0.00,3.17,4034701,3622915,47.31,66989,676111,8457856,110.45,2921658,529465,84,2711759,112500,5184,9347,0,0,0,0.00,0,0.00,0.62,0.00,0.62,0.00,10.60,45061,1337,47264,0,0.02,5385.56,10,310,9.55,9.29,8.70,0,21355.18,21582.24,25021.48,24662.28,0.00,0.00,0.00,2.05
nio,io,7g,100,UseParallelGC,1024,5.282125449051855,0,244,1.0,2.0,4.0,10.0,39.0,94.0,133.0,183.41279999911785,241.7412799987942,243.43706399947405,18764.536666666667,7162.5,23.619,597,40.291,2362.516,0.00313,0.00173,0.0791,0.00296,0.0791,1.38,0.08,1.3,99.77,1,439,102984.144,799472.877,7547.065,81.99,0.00,8.69,0.00,0.08,0.00,3.37,0.00,0.00,5.86,4050894,3606722,47.10,67189,676445,8455008,110.41,2906268,529458,85,2695823,112252,5184,9304,0,0,0,0.00,0,0.00,0.64,0.00,0.64,0.00,10.44,45143,1214,47172,0,0.05,7849.81,9,310,8.54,8.39,8.44,0,19123.09,19245.40,22723.03,22395.51,0.00,0.00,0.00,1.86
nio,io,7g,50,UseParallelGC,1024,2.7413526564658675,0,215,1.0,1.0,2.0,4.0,13.0,63.0,111.0,188.0,204.597919001244,214.4621990993619,17926.7,7165,23.613,550,37.756,2367.088,0.00247,0.00143,0.09482,0.00225,0.09482,1.04,0.09,0.94,99.83,1,419,98653.727,1051859.632,5800.213,75.72,0.00,10.03,0.00,0.17,0.00,3.70,0.00,0.00,10.37,4045228,3612388,47.17,67393,676776,8462800,110.51,2913384,529456,84,2702400,111650,5197,9308,0,0,0,0.00,0,0.00,0.58,0.00,0.58,0.00,10.39,45225,1169,47131,0,0.01,15461.32,9,311,8.30,7.92,8.08,0,18104.16,18101.36,21690.54,21372.48,0.00,0.00,0.00,1.78
nio,io,7g,20,UseParallelGC,1024,1.2298229144985835,0,203,0.0,1.0,1.0,2.0,5.0,44.0,76.0,104.0,124.1661639995873,202.05830819904804,15694.866666666667,7167,23.618,570,36.589,2368.395,0.0022,0.00131,0.07674,0.00199,0.07674,0.81,0.08,0.73,99.87,1,366,86138.701,1188256.366,7427.726,69.73,0.00,11.30,0.00,0.30,0.00,3.99,0.00,0.00,14.68,4040071,3617545,47.24,67589,677100,8446396,110.30,2918766,529440,82,2707234,111841,5184,9304,0,0,0,0.00,0,0.00,0.67,0.00,0.67,0.00,10.82,45304,1155,47107,0,0.06,26483.17,8,310,7.17,7.17,7.57,0,15765.94,15766.28,18981.34,18704.36,0.00,0.00,0.00,1.55
nio,io,7g,10,UseParallelGC,1024,0.7114222212938189,0,203,0.0,0.0,1.0,1.0,5.0,18.0,39.0,57.0,78.0,154.1275735856034,13244.563333333334,7167.5,23.618,622,36.161,2366.158,0.00211,0.00129,0.07362,0.00188,0.07362,0.66,0.07,0.59,99.89,1,312,73312.277,1260364.838,8448.688,58.70,0.00,11.19,0.00,0.64,0.00,2.84,0.00,0.00,26.63,4047989,3609627,47.14,67794,677416,8460156,110.48,2910850,529436,79,2698777,111946,5194,9408,0,0,0,0.00,0,0.00,0.57,0.00,0.57,0.00,9.54,45391,1143,47113,0,0.01,43241.23,7,311,5.02,5.33,6.38,0,13279.77,13271.38,16015.32,15781.43,0.00,0.00,0.00,1.31
nio,io,7g,1,UseParallelGC,1024,0.3178060943417196,0,23,0.0,0.0,0.0,1.0,1.0,1.0,8.0,21.631919999956153,23.0,23.0,2789.3633333333332,7166.5,23.618,565,35.387,2293.496,0.00401,0.00126,0.06913,0.00307,0.06913,0.28,0.07,0.21,99.95,1,69,15803.332,748039.317,8173.267,0.76,0.00,0.76,0.00,0.59,0.00,0.03,0.00,0.00,97.85,4042169,3615447,47.21,67993,677713,8459196,110.47,2916638,529428,88,2704089,112049,5199,9285,0,0,0,0.00,0,0.00,0.47,0.00,0.47,0.00,8.61,45471,1110,47109,0,0.00,22534.52,2,311,0.05,1.12,3.69,0,2800.88,2800.21,3381.98,3332.70,0.00,0.00,0.00,0.28
nio,io,7g,600,UseParallelGC,100,26.70078528105934,0,402,9.0,13.0,23.0,47.0,96.0,167.0,253.0,289.0,310.8147459998727,395.27158199623227,22428.06333333333,7145.5,23.622,613,59.922,2327.341,0.00891,0.0049,0.07547,0.00876,0.07547,3.88,0.08,3.8,99.36,1,434,100458.373,265684.887,8122.39,81.66,0.00,9.92,0.00,0.04,0.00,4.67,0.00,0.00,3.72,4010650,3646966,47.63,68186,678029,8462008,110.50,2944077,529429,77,2731041,113903,5192,9342,0,0,0,0.00,0,0.00,0.57,0.00,0.57,0.00,9.54,45553,1741,47720,0,0.06,7755.56,10,310,9.18,7.22,5.41,0,24547.42,30920.89,7060.31,7022.40,0.00,0.00,0.00,0.58
nio,io,7g,500,UseParallelGC,100,21.860581989742524,0,335,7.0,10.0,18.0,39.0,85.0,152.0,208.0,258.0,274.98796399496496,315.8412183970213,22808.076666666668,7150,23.606,663,53.463,2335.219,0.00767,0.00385,0.07134,0.00753,0.07134,3.39,0.07,3.32,99.44,1,441,102364.755,310245.458,9293.641,81.82,0.00,9.75,0.00,0.04,0.00,4.54,0.00,0.00,3.84,4031433,3626183,47.35,68397,678358,8460000,110.48,2923689,529428,85,2710121,113617,5188,9337,0,0,0,0.00,0,0.00,0.60,0.00,0.60,0.00,9.38,45635,1639,47628,0,0.01,7572.38,10,310,9.41,8.65,7.05,0,24578.51,28433.42,7148.18,6946.55,0.00,0.00,0.00,0.59
